Date,Month,CornPrice,Year,CPI,AdjPrice
2000-01-01,1,1.77,2000,168.8,3.2892727191943125
2000-02-01,2,1.91,2000,169.8,3.5285375245386725
2000-03-01,3,1.97,2000,171.2,3.6096203368380064
2000-04-01,4,1.98,2000,171.3,3.625825394045534
2000-05-01,5,2.07,2000,171.5,3.7862150728862973
2000-06-01,6,1.86,2000,172.4,3.3843458816705336
2000-07-01,7,1.58,2000,172.8,2.8682196566358025
2000-08-01,8,1.43,2000,172.8,2.5959203221450613
2000-09-01,9,1.46,2000,173.7,2.6366476492036077
2000-10-01,10,1.66,2000,174,2.9926635823754784
2000-11-01,11,1.83,2000,174.1,3.297246209075244
2000-12-01,12,1.89,2000,174,3.4073097413793105
2001-01-01,1,1.86,2001,175.1,3.332160079954312
2001-02-01,2,1.87,2001,175.8,3.3367355991657184
2001-03-01,3,1.88,2001,176.2,3.3469637154748395
2001-04-01,4,1.83,2001,176.9,3.245056896551724
2001-05-01,5,1.72,2001,177.7,3.0362678296754835
2001-06-01,6,1.66,2001,178,2.925412715355805
2001-07-01,7,1.79,2001,177.5,3.1633972488262914
2001-08-01,8,1.83,2001,177.5,3.234087690140845
2001-09-01,9,1.81,2001,178.3,3.184390287904281
2001-10-01,10,1.78,2001,177.7,3.1421841493153257
2001-11-01,11,1.8,2001,177.4,3.1828630214205185
2001-12-01,12,1.91,2001,176.7,3.3907508300320695
2002-01-01,1,1.88,2002,177.1,3.3299548654244306
2002-02-01,2,1.86,2002,177.8,3.281559223847019
2002-03-01,3,1.89,2002,178.8,3.315838338926174
2002-04-01,4,1.86,2002,179.8,3.245056896551724
2002-05-01,5,1.84,2002,179.8,3.2101638116425657
2002-06-01,6,1.88,2002,179.9,3.278126774133778
2002-07-01,7,2.03,2002,180.1,3.53574864889876
2002-08-01,8,2.27,2002,180.7,3.940640020291459
2002-09-01,9,2.43,2002,181,4.211402569060773
2002-10-01,10,2.25,2002,181.3,3.8929943463872028
2002-11-01,11,2.22,2002,181.3,3.841087755102041
2002-12-01,12,2.22,2002,180.9,3.8495810392482035
2003-01-01,1,2.19,2003,181.7,3.780839543203082
2003-02-01,2,2.23,2003,183.1,3.820459302748953
2003-03-01,3,2.23,2003,184.2,3.797644399203764
2003-04-01,4,2.26,2003,183.8,3.8571097025752623
2003-05-01,5,2.31,2003,183.5,3.9488894005449593
2003-06-01,6,2.27,2003,183.7,3.8762855289421156
2003-07-01,7,2.09,2003,183.9,3.5650335055283664
2003-08-01,8,2.04,2003,184.6,3.466550487540628
2003-09-01,9,2.12,2003,185.2,3.590822498200144
2003-10-01,10,2.05,2003,185,3.4760113963963963
2003-11-01,11,2.15,2003,184.5,3.6554525293586266
2003-12-01,12,2.27,2003,184.3,3.863666042684029
2004-01-01,1,2.33,2004,185.2,3.9465171796256304
2004-02-01,2,2.55,2004,186.2,4.295953410311492
2004-03-01,3,2.67,2004,187.4,4.469312620064033
2004-04-01,4,2.79,2004,188,4.655275771276595
2004-05-01,5,2.8,2004,189.1,4.6447844174158295
2004-06-01,6,2.77,2004,189.7,4.580485336496222
2004-07-01,7,2.48,2004,189.4,4.1074356212601195
2004-08-01,8,2.23,2004,189.5,3.6914305980650832
2004-09-01,9,2.14,2004,189.9,3.5349873793224504
2004-10-01,10,2.16,2004,190.9,3.549334101623887
2004-11-01,11,2,2004,191,3.28469982547993
2004-12-01,12,1.99,2004,190.3,3.280298362235067
2005-01-01,1,2.04,2005,190.7,3.3556644992134244
2005-02-01,2,1.88,2005,191.8,3.074739346541536
2005-03-01,3,1.98,2005,193.3,3.2131603207449557
2005-04-01,4,1.95,2005,194.6,3.1433362024665983
2005-05-01,5,1.92,2005,194.4,3.098161316872428
2005-06-01,6,1.95,2005,194.5,3.1449523136246786
2005-07-01,7,2,2005,195.4,3.210735243944046
2005-08-01,8,1.8,2005,196.4,2.8749485743380854
2005-09-01,9,1.81,2005,198.8,2.8560200620389
2005-10-01,10,1.78,2005,199.2,2.8030427878179385
2005-11-01,11,1.74,2005,197.6,2.7622397267206478
2005-12-01,12,1.87,2005,196.8,2.980681495596206
2006-01-01,1,1.87,2006,198.3,2.9581347369305764
2006-02-01,2,1.85,2006,198.7,2.9206056450260025
2006-03-01,3,2.02,2006,199.8,3.171428645311978
2006-04-01,4,2.04,2006,201.5,3.1758075434243174
2006-05-01,5,2.08,2006,202.5,3.222087769547325
2006-06-01,6,2.11,2006,202.9,3.2621165023821255
2006-07-01,7,2.09,2006,203.5,3.221669099099099
2006-08-01,8,2.04,2006,203.9,3.1384267778322705
2006-09-01,9,2.08,2006,202.9,3.215735699030721
2006-10-01,10,2.43,2006,201.8,3.7773234142715557
2006-11-01,11,2.84,2006,201.5,4.421222266335814
2006-12-01,12,3.03,2006,201.8,4.709995862239841
2007-01-01,1,3.04,2007,202.4,4.711531884057971
2007-02-01,2,3.46,2007,203.5,5.333480900900901
