Date,Price,Open,High,Low,Vol.,Change %,Year,Month,DateKey,CPI,AdjStockPrice
2024-11-29,17.87,17.71,17.9,17.71,10.03K,0.73%,2024,11,2024-11-01,315.493,17.767809275218994
2024-11-27,17.74,17.78,17.84,17.73,29.86K,-0.16%,2024,11,2024-11-01,315.493,17.638552688437883
2024-11-26,17.77,17.92,17.92,17.69,70.16K,-0.85%,2024,11,2024-11-01,315.493,17.668381131541217
2024-11-25,17.92,17.97,18.07,17.9,27.91K,-0.83%,2024,11,2024-11-01,315.493,17.817523347057886
2024-11-22,18.07,18.15,18.16,18.01,24.54K,-0.03%,2024,11,2024-11-01,315.493,17.966665562574555
2024-11-21,18.08,18.25,18.25,18.03,34.69K,-1.17%,2024,11,2024-11-01,315.493,17.97660837694233
2024-11-20,18.29,18.09,18.3,18.06,26.15K,0.72%,2024,11,2024-11-01,315.493,18.185407478665667
2024-11-19,18.16,18.22,18.3,18.13,29.79K,-0.27%,2024,11,2024-11-01,315.493,18.056150891884553
2024-11-18,18.21,18,18.23,18,42.61K,0.77%,2024,11,2024-11-01,315.493,18.10586496372344
2024-11-15,18.07,17.9,18.15,17.89,48.26K,0.85%,2024,11,2024-11-01,315.493,17.966665562574555
2024-11-14,17.92,18.1,18.1,17.87,51.28K,-1.17%,2024,11,2024-11-01,315.493,17.817523347057886
2024-11-13,18.13,18.21,18.27,18.07,40.44K,-0.66%,2024,11,2024-11-01,315.493,18.026322448781215
2024-11-12,18.25,18.39,18.4,18.18,25.97K,-0.54%,2024,11,2024-11-01,315.493,18.145636221194554
2024-11-11,18.35,18.39,18.42,18.22,78.62K,-0.70%,2024,11,2024-11-01,315.493,18.245064364872334
2024-11-08,18.48,18.4,18.57,18.32,78.91K,0.54%,2024,11,2024-11-01,315.493,18.374320951653445
2024-11-07,18.38,18.31,18.39,18.16,67.72K,0.66%,2024,11,2024-11-01,315.493,18.274892807975665
2024-11-06,18.26,17.85,18.3,17.85,68.11K,1.28%,2024,11,2024-11-01,315.493,18.155579035562333
2024-11-05,18.03,18.01,18.06,17.96,39.84K,0.53%,2024,11,2024-11-01,315.493,17.926894305103442
2024-11-04,17.93,17.98,18.07,17.91,61.59K,-0.08%,2024,11,2024-11-01,315.493,17.82746616142566
2024-11-01,17.95,17.93,18.04,17.89,48.40K,0.36%,2024,11,2024-11-01,315.493,17.84735179016122
2024-10-31,17.89,17.83,17.94,17.83,50.84K,0.20%,2024,10,2024-10-01,315.664,17.778059038513526
2024-10-30,17.85,17.86,17.91,17.81,23.27K,-0.28%,2024,10,2024-10-01,315.664,17.73830932573876
2024-10-29,17.9,17.82,17.94,17.82,34.03K,0.51%,2024,10,2024-10-01,315.664,17.787996466707213
2024-10-28,17.81,17.93,17.93,17.78,44.77K,-0.84%,2024,10,2024-10-01,315.664,17.698559612963994
2024-10-25,17.96,18.09,18.09,17.93,68.87K,-1.05%,2024,10,2024-10-01,315.664,17.847621035869363
2024-10-24,18.15,18.16,18.21,18.06,107.26K,0.50%,2024,10,2024-10-01,315.664,18.036432171549492
2024-10-23,18.06,17.96,18.1,17.9,78.33K,0.67%,2024,10,2024-10-01,315.664,17.946995317806273
2024-10-22,17.94,17.69,17.97,17.69,102.75K,1.36%,2024,10,2024-10-01,315.664,17.827746179481984
2024-10-21,17.7,17.57,17.81,17.57,75.04K,0.70%,2024,10,2024-10-01,315.664,17.589247902833392
2024-10-18,17.58,17.77,17.77,17.55,68.04K,-0.64%,2024,10,2024-10-01,315.664,17.469998764509096
2024-10-17,17.69,17.62,17.73,17.45,101.88K,-0.08%,2024,10,2024-10-01,315.664,17.579310474639705
2024-10-16,17.7,17.67,17.77,17.6,175.24K,0.77%,2024,10,2024-10-01,315.664,17.589247902833392
2024-10-15,17.57,17.72,17.75,17.56,72.65K,-1.46%,2024,10,2024-10-01,315.664,17.46006133631541
2024-10-14,17.83,18.08,18.09,17.82,94.62K,-2.18%,2024,10,2024-10-01,315.664,17.718434469351376
2024-10-11,18.23,18.28,18.4,18.18,66.11K,-0.40%,2024,10,2024-10-01,315.664,18.115931597099028
2024-10-10,18.3,18.33,18.41,18.26,52.58K,-0.38%,2024,10,2024-10-01,315.664,18.185493594454865
2024-10-09,18.37,18.35,18.44,18.34,56.61K,0.00%,2024,10,2024-10-01,315.664,18.255055591810702
