Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,0.73,1.37,1,2.03,3.6,6.56,4.09,2.62,2.11,1.8,2.15,1.67
2001,1.42,2.16,1.3,3.6,7.04,4.07,3.12,2.97,4.07,2.46,1.55,0.83
2002,0.4,0.89,1.16,3.62,4.1,3.51,4.24,5.81,1.71,3.58,0.22,0.24
2003,0.39,0.82,1.15,3.25,4.61,4.48,4.11,1.03,3.11,1,3.46,1.28
2004,0.96,1.17,3.75,1.85,7.74,3.55,4.33,4.56,2.66,2.05,2.21,0.58
2005,1.31,1.52,1.05,3.45,3.85,5.25,3.27,3.02,3.29,0.91,1.75,1.17
2006,0.99,0.32,3.17,4.3,2.44,2.49,3.22,5.75,4.22,1.64,1.77,2.09
2007,0.91,1.68,2.86,4.56,5.35,3.38,3.38,9.69,2.87,5.1,0.18,2.44
2008,0.68,1.71,1.26,5.86,5.67,8.88,5.88,1.96,4.16,3.25,1.72,1.88
2009,0.68,0.79,2.97,3.6,3.64,5.29,4.62,5.75,1.73,6.35,1.19,2.54
2010,1.3,0.96,1.72,3.7,4.19,10.28,7.89,4.83,5.4,0.91,1.64,1.23
2011,0.94,1.39,1.5,3.81,5,6.19,3.4,3.02,1.68,0.74,2.08,2.08
2012,0.57,1.68,1.91,3.9,3.51,2.81,1.17,2.88,1.62,2.98,1.05,1.52
2013,0.95,1.27,2.09,6.43,8.65,4.89,1.74,1.49,1.94,2.78,1.59,0.62
2014,0.43,1.5,0.81,4.65,3.04,9.66,3.3,5.92,4.35,3.17,0.76,1.1
2015,0.52,1.11,0.56,3.37,5.06,6.38,5.5,5.28,4.18,1.76,4.08,4.71
2016,0.59,0.88,2.28,3.19,4.36,3.7,5.92,6.14,6.12,2.01,1.39,1.52
2017,1.56,0.99,2.56,3.8,4.8,3.5,2.94,3.83,2.31,5.26,0.41,0.39
2018,1.02,1.54,2.28,1.54,4.7,7.55,3.39,6.42,8.1,4.63,1.81,2.1
2019,1.28,2.34,2.19,3.03,8.21,3.91,3.38,3.53,6.21,4.78,1.49,1.28
2020,1.41,0.43,2.91,1.65,4.57,4.95,2.93,1.23,4.07,1.9,2.09,1.14
2021,1.24,0.79,2.78,1.51,3.85,3.35,4.01,4.65,1.81,5,0.98,0.87
2022,0.78,0.28,2.65,3.22,3.59,3.53,3.23,3.49,1.9,0.92,2.04,1.69
2023,1.93,2.26,1.46,2.14,2.67,2.81,3.09,3.04,2.14,3.24,0.31,1.84
2024,1.82,0.21,2.6,4.22,7.55,5.42,5.05,3.09,0.69,1.77,3.29,1.33
