Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,1.77,1.91,1.97,1.98,2.07,1.86,1.58,1.43,1.46,1.66,1.83,1.89
2001,1.86,1.87,1.88,1.83,1.72,1.66,1.79,1.83,1.81,1.78,1.8,1.91
2002,1.88,1.86,1.89,1.86,1.84,1.88,2.03,2.27,2.43,2.25,2.22,2.22
2003,2.19,2.23,2.23,2.26,2.31,2.27,2.09,2.04,2.12,2.05,2.15,2.27
2004,2.33,2.55,2.67,2.79,2.8,2.77,2.48,2.23,2.14,2.16,2,1.99
2005,2.04,1.88,1.98,1.95,1.92,1.95,2,1.8,1.81,1.78,1.74,1.87
2006,1.87,1.85,2.02,2.04,2.08,2.11,2.09,2.04,2.08,2.43,2.84,3.03
2007,3.04,3.46,3.34,3.39,3.53,3.44,3.29,3.26,3.23,3.26,3.43,3.74
2008,3.97,4.5,4.61,4.98,5.07,5.4,5.26,5.34,5.16,4.48,4.35,4.21
2009,4.44,3.96,3.98,3.93,4.06,4.04,3.65,3.3,3.23,3.67,3.72,3.68
2010,3.76,3.66,3.61,3.46,3.52,3.42,3.5,3.61,4.01,4.28,4.61,4.86
2011,5.07,5.59,5.32,6.2,6.25,6.3,6.19,6.84,6.63,5.65,5.75,5.78
2012,5.99,6.21,6.23,6.23,6.31,6.37,7.17,7.89,6.84,6.82,7.03,6.92
2013,7.06,7.01,7.13,7.1,7.05,7.09,6.91,6.32,5.66,4.64,4.43,4.32
2014,4.43,4.43,4.55,4.76,4.71,4.49,4.06,3.61,3.51,3.62,3.63,3.79
2015,3.86,3.8,3.83,3.74,3.61,3.58,3.78,3.67,3.57,3.58,3.53,3.53
2016,3.55,3.48,3.46,3.52,3.6,3.75,3.55,3.08,3.08,3.3,3.2,3.27
2017,3.34,3.39,3.43,3.3,3.39,3.35,3,3.19,3.21,3.23,3.14,3.2
2018,3.2,3.33,3.43,3.52,3.57,3.54,3.41,3.27,3.29,3.4,3.4,3.52
2019,3.52,3.54,3.57,3.51,3.59,3.95,4.11,3.91,3.72,3.79,3.64,3.7
2020,3.78,3.74,3.64,3.28,3.12,3.11,3.14,3.08,3.39,3.61,3.82,4.05
2021,4.4,4.87,4.89,5.35,6.03,6.19,6.22,6.38,5.63,5.02,5.23,5.54
2022,5.7,6.11,6.59,7.12,7.34,7.48,7.44,7.4,7.42,6.53,6.5,6.69
2023,6.74,6.83,6.7,6.75,6.57,6.57,6.33,5.77,5.22,4.96,4.74,4.89
2024,4.84,4.39,4.43,4.5,4.63,4.6,4.32,4.02,4.09,4.01,4.12,4.27
