"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2024","17.87","17.71","17.90","17.71","10.03K","0.73%"
"11/27/2024","17.74","17.78","17.84","17.73","29.86K","-0.16%"
"11/26/2024","17.77","17.92","17.92","17.69","70.16K","-0.85%"
"11/25/2024","17.92","17.97","18.07","17.90","27.91K","-0.83%"
"11/22/2024","18.07","18.15","18.16","18.01","24.54K","-0.03%"
"11/21/2024","18.08","18.25","18.25","18.03","34.69K","-1.17%"
"11/20/2024","18.29","18.09","18.30","18.06","26.15K","0.72%"
"11/19/2024","18.16","18.22","18.30","18.13","29.79K","-0.27%"
"11/18/2024","18.21","18.00","18.23","18.00","42.61K","0.77%"
"11/15/2024","18.07","17.90","18.15","17.89","48.26K","0.85%"
"11/14/2024","17.92","18.10","18.10","17.87","51.28K","-1.17%"
"11/13/2024","18.13","18.21","18.27","18.07","40.44K","-0.66%"
"11/12/2024","18.25","18.39","18.40","18.18","25.97K","-0.54%"
"11/11/2024","18.35","18.39","18.42","18.22","78.62K","-0.70%"
"11/08/2024","18.48","18.40","18.57","18.32","78.91K","0.54%"
"11/07/2024","18.38","18.31","18.39","18.16","67.72K","0.66%"
"11/06/2024","18.26","17.85","18.30","17.85","68.11K","1.28%"
"11/05/2024","18.03","18.01","18.06","17.96","39.84K","0.53%"
"11/04/2024","17.93","17.98","18.07","17.91","61.59K","-0.08%"
"11/01/2024","17.95","17.93","18.04","17.89","48.40K","0.36%"
"10/31/2024","17.89","17.83","17.94","17.83","50.84K","0.20%"
"10/30/2024","17.85","17.86","17.91","17.81","23.27K","-0.28%"
"10/29/2024","17.90","17.82","17.94","17.82","34.03K","0.51%"
"10/28/2024","17.81","17.93","17.93","17.78","44.77K","-0.84%"
"10/25/2024","17.96","18.09","18.09","17.93","68.87K","-1.05%"
"10/24/2024","18.15","18.16","18.21","18.06","107.26K","0.50%"
"10/23/2024","18.06","17.96","18.10","17.90","78.33K","0.67%"
"10/22/2024","17.94","17.69","17.97","17.69","102.75K","1.36%"
"10/21/2024","17.70","17.57","17.81","17.57","75.04K","0.70%"
"10/18/2024","17.58","17.77","17.77","17.55","68.04K","-0.64%"
"10/17/2024","17.69","17.62","17.73","17.45","101.88K","-0.08%"
"10/16/2024","17.70","17.67","17.77","17.60","175.24K","0.77%"
"10/15/2024","17.57","17.72","17.75","17.56","72.65K","-1.46%"
"10/14/2024","17.83","18.08","18.09","17.82","94.62K","-2.18%"
"10/11/2024","18.23","18.28","18.40","18.18","66.11K","-0.40%"
"10/10/2024","18.30","18.33","18.41","18.26","52.58K","-0.38%"
"10/09/2024","18.37","18.35","18.44","18.34","56.61K","0.00%"
"10/08/2024","18.38","18.45","18.53","18.31","155.79K","-0.94%"
"10/07/2024","18.55","18.47","18.56","18.40","30.24K","0.43%"
