Date,Open,High,Low,Close,Volume
09-06-2010,25.12,25.25,25.12,25.15,1700
10-06-2010,25.46,25.46,25.4599,25.4599,200
11-06-2010,25.88,25.88,25.7913,25.7913,500
14-06-2010,25.99,26.11,25.99,26.11,2247
15-06-2010,26.24,26.24,25.969,25.969,6955
16-06-2010,26.26,26.44,26.1999,26.32,2399
17-06-2010,26.2,26.2,25.82,26.08,1600
18-06-2010,26.22,26.6,26.2199,26.39,3125
21-06-2010,26.35,26.35,25.7,25.9799,9500
22-06-2010,25.9,25.9,25.66,25.6864,28700
23-06-2010,25.54,25.54,25.54,25.54,5900
24-06-2010,25.3,25.51,25.29,25.29,6050
25-06-2010,25.35,25.35,24.89,24.89,9400
28-06-2010,24.61,24.61,24.51,24.51,12100
29-06-2010,24.58,24.58,23.979,23.979,8480
30-06-2010,24.58,25.94,24.58,25.94,16490
01-07-2010,25.77,26.57,25.77,26.51,31100
02-07-2010,26.52,26.58,26.17,26.39,6400
06-07-2010,26.27,26.53,25.45,26.14,9660
07-07-2010,26.1475,26.69,26.1475,26.69,3300
08-07-2010,26.77,27.2,26.66,27.2,142299
09-07-2010,27.2,27.2,26.98,27.11,33058
12-07-2010,27.04,27.27,26.76,26.7899,20900
13-07-2010,26.75,26.96,26.55,26.61,4500
14-07-2010,26.8,27.18,26.8,27.15,10360
15-07-2010,27.6,27.81,27.3415,27.62,5856
16-07-2010,27.64,28.12,27.32,27.69,81780
19-07-2010,27.34,27.65,26.7,26.93,33500
20-07-2010,26.55,26.8,26.54,26.6719,17900
21-07-2010,26.785,27.04,26.77,26.942,5100
22-07-2010,27.14,27.36,26.77,26.77,27055
23-07-2010,26.97,26.97,26.61,26.61,10284
26-07-2010,26.5,26.5,25.98,26.25,94311
27-07-2010,26.62,26.62,26.05,26.07,18510
28-07-2010,26.42,26.9799,26.3,26.91,10000
29-07-2010,23.79,27.35,23.79,27.09,7150
30-07-2010,27.46,27.74,27.3,27.69,118114
02-08-2010,28.11,28.29,27.58,27.61,15449
03-08-2010,27.52,27.65,27.3224,27.5392,3200
04-08-2010,27.99,28.31,27.82,28.2972,9060
05-08-2010,29.48,29.48,28.184,28.184,15977
06-08-2010,28.17,28.4999,27.85,28.4899,13978
09-08-2010,28.58,28.85,28.35,28.46,11874
10-08-2010,28.15,28.45,27.81,27.81,8456
11-08-2010,27.81,28.1,27.6208,27.9,30042
12-08-2010,28.0901,29.06,28.0901,28.75,21982
13-08-2010,28.86,28.9,28.72,28.8799,13982
16-08-2010,28.96,29.18,28.46,28.51,20154
17-08-2010,28.56,29.03,28.56,29.023,7475
18-08-2010,28.8,29.09,28.69,29.08,6200
19-08-2010,29.14,29.23,28.54,28.7,12002
20-08-2010,28.36,29.28,28.36,29.28,5025
23-08-2010,29.33,29.33,29.01,29.0205,5400
24-08-2010,28.5001,28.5832,28,28.17,6423
25-08-2010,28.21,28.33,28.1101,28.2854,4100
26-08-2010,28.5,29.05,28.5,28.9301,7612
27-08-2010,29.3,29.38,29.14,29.14,7394
30-08-2010,29.55,29.69,29.48,29.5571,12540
31-08-2010,29.49,29.69,29.4,29.4715,16339
01-09-2010,29.7,30.02,29.5,29.8,25726
02-09-2010,29.735,29.89,29.63,29.81,8657
03-09-2010,29.92,30.965,29.75,30.965,43707
07-09-2010,30.5,30.655,30.12,30.58,35563
08-09-2010,30.95,30.95,30.49,30.52,23511
09-09-2010,30.3,31.02,30.3,31.02,17801
10-09-2010,31.29,31.48,30.5,31.36,26090
13-09-2010,31.67,31.67,31.42,31.5688,36026
14-09-2010,31.41,32.4,31.3,32.36,40956
15-09-2010,32.48,32.48,32.13,32.26,17333
16-09-2010,32.15,32.43,32.02,32.4,8141
17-09-2010,32.85,33.3201,32.61,33.12,26849
20-09-2010,33.96,33.96,32.77,32.86,54278
21-09-2010,32.86,33.26,32.58,32.69,31240
22-09-2010,32.95,34.03,32.63,32.98,39031
23-09-2010,32.52,32.73,32.41,32.51,28189
24-09-2010,33.07,33.888,32.92,33.71,40189
27-09-2010,33.8,33.83,33.23,33.32,22699
28-09-2010,33.31,33.31,32.5801,32.65,33074
29-09-2010,31.85,33.1999,31.69,32.99,55608
30-09-2010,32.36,32.905,31.58,32.57,119362
01-10-2010,32.08,32.443,30.5,30.6701,75579
04-10-2010,30.18,31.11,30.01,31,83886
05-10-2010,31.42,32.17,31.368,32.07,20777
06-10-2010,32.1109,32.2,31.91,31.91,44220
07-10-2010,32.25,32.57,31.98,32.42,31114
08-10-2010,34,37.2299,33.9,37.155,210395
11-10-2010,37.25,37.59,35.5201,35.63,132963
12-10-2010,35.62,36.98,35.52,36.7,105544
13-10-2010,37.12,37.12,36.14,36.29,107609
14-10-2010,36.54,36.8799,36.21,36.28,44769
15-10-2010,36.59,36.59,35.8901,35.97,47825
18-10-2010,36.01,37,35.57,35.84,78753
19-10-2010,35.54,35.7285,34.95,35.146,70826
20-10-2010,35.64,36.92,35.63,36.862,138629
21-10-2010,36.95,37.16,36.07,36.2799,97924
22-10-2010,36.48,36.6599,35.8901,35.975,42627
25-10-2010,36.66,36.6999,36.33,36.55,30319
